"title","species","cultivar","treatment","curve_no","ci","a","measurement_co2_micromol_mol_1","n","doy","measurement_time","setting","latitude","longitude","soil_type","growth_fertilization","experiment_fertilization","growth_watering","mean_annual_rainfall_mm","experiment_watering","growth_day_length_h","growth_ppfd","measurement_ppfd","growth_rh_day_pcntj","growth_rh_night_pcntj","measurement_rh_pcntj","growth_vpd","measurement_vpd_k_pa","growth_t_day","growth_t_night","mean_growth_season_t","max_growth_season_t","min_growth_season_t","measurement_t","growth_co2_day_micromol_mol_1","growth_co2_night_micromol_mol_1","gs_growth_ca","leaf","gas_exchange_equipment"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",72,256,22.3,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",72,226,23.4,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",72,242,21.2,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",72,212,20.2,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",72,130,21.1,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",72,124,22.5,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",72,101,18.1,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",72,88.9,19.9,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",72,55.4,15.3,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",72,70.6,14.2,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",72,44,8.9,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",72,43.9,9.55,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",72,20.3,2.33,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",72,22.5,1.88,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",73,235,26.8,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",73,224,28.2,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",73,123,24.1,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",73,116,25.5,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",73,113,25.7,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",73,115,26.5,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",73,96.4,28.5,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",73,101,20.6,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",73,102,23.3,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",73,104,24.1,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",73,63.9,18.8,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",73,60.9,19.6,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",73,37.7,11,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",73,35.9,11.5,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",73,17.2,3.43,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",73,16.1,3.71,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",74,281,20.8,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",74,257,22.1,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",74,214,22.7,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",74,265,21.4,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",74,282,23.5,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",74,118,21.5,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",74,155,22.5,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",74,119,20.6,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",74,67,18,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",74,72.3,17.7,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",74,37.1,10.8,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",74,37.3,10.8,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",74,20.7,2.63,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",74,13.8,4.18,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",74,13.7,4.18,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",74,17.4,3.4,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",74,17.2,3.4,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",74,18.6,3.14,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 215",74,17.5,3.4,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","215","365",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 270",75,360,27.5,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","270","420",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 270",75,240,33.4,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","270","420",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 270",75,297,28.1,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","270","420",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 270",75,208,36.7,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","270","420",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 270",75,216,36,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","270","420",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 270",75,148,29.8,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","270","420",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 270",75,171,27.1,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","270","420",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 270",75,145,30.8,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","270","420",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 270",75,93.8,28.8,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","270","420",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 270",75,119,24.9,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","270","420",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 270",75,117,25.3,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","270","420",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 270",75,128,23.8,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","270","420",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 270",75,121,24.9,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","270","420",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 270",75,77.4,19.2,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","270","420",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 270",75,64.1,21.1,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","270","420",".","youngest fully expanded","LI-6400"
"Gas exchange and photosynthetic acclimation over subambient to elevated CO2 in a C3-C4 grassland","Bothriochloa ischaemum",".","CO2a 270",75,77,19.9,"34,100,200,300,400,600","3","August","9-15:00","outdoor chamber","31:05:N","97:20:W","austin black",".",".","rainfed equivalent","877",".",".",".","2000",".",".",".",".","1.4-1.6","ambient minus 2-4",".",".","25.9","13.2","30.5","270","420",".","youngest fully expanded","LI-6400"
